,Title,Worldwide,Domestic,% Domestic,Foreign,% Foreign
850,Extreme Job,"$119,932,733 ","$1,565,885 ",1.30%,"$118,366,848 ",98.70%
851,Wonder Park,"$119,559,110 ","$45,216,793 ",37.80%,"$74,342,317 ",62.20%
852,Dora and the Lost City of Gold,"$118,914,774 ","$60,477,943 ",50.90%,"$58,436,831 ",49.10%
853,P Storm,"$117,991,727 ","$326,711 ",0.30%,"$117,665,016 ",99.70%
854,Zombieland: Double Tap,"$117,744,336 ","$72,244,336 ",61.40%,"$45,500,000 ",38.60%
855,Parasite,"$117,247,124 ","$18,350,215 ",15.70%,"$98,896,909 ",84.30%
856,Pet Sematary,"$112,399,944 ","$54,724,696 ",48.70%,"$57,675,248 ",51.30%
857,Good Boys,"$110,883,070 ","$83,083,070 ",74.90%,"$27,800,000 ",25.10%
858,Scary Stories to Tell in the Dark,"$104,545,505 ","$68,947,075 ",65.90%,"$35,598,430 ",34.10%
859,Midway,"$104,104,788 ","$50,478,116 ",48.50%,"$53,626,672 ",51.50%
860,Line Walker 2: Invisible Spy,"$99,482,027 ","$296,751 ",0.30%,"$99,185,276 ",99.70%
861,The Hustle,"$95,017,038 ","$35,417,038 ",37.30%,"$59,600,000 ",62.70%
862,Five Feet Apart,"$91,522,071 ","$45,729,221 ",50%,"$45,792,850 ",50%
863,Crawl,"$90,510,445 ","$39,014,193 ",43.10%,"$51,496,252 ",56.90%
864,Rambo: Last Blood,"$87,041,796 ","$44,819,352 ",51.50%,"$42,222,444 ",48.50%
865,One Piece: Stampede,"$80,438,653 ","$1,298,528 ",1.60%,"$79,140,125 ",98.40%
866,Cold Pursuit,"$76,419,755 ","$32,138,862 ",42.10%,"$44,280,893 ",57.90%
867,A Dog's Way Home,"$76,087,556 ","$42,004,346 ",55.20%,"$34,083,210 ",44.80%
868,A Madea Family Funeral,"$74,747,725 ","$73,257,045 ",98%,"$1,490,680 ",2%
869,Knives Out,"$72,622,256 ","$43,122,512 ",59.40%,"$29,499,744 ",40.60%
870,What Men Want,"$72,216,294 ","$54,611,903 ",75.60%,"$17,604,391 ",24.40%
871,A Dog's Journey,"$71,746,590 ","$22,546,590 ",31.40%,"$49,200,000 ",68.60%
872,After,"$69,497,587 ","$12,138,565 ",17.50%,"$57,359,022 ",82.50%
873,Exit,"$69,483,204 ","$470,699 ",0.70%,"$69,012,505 ",99.30%
874,Last Christmas,"$68,135,600 ","$31,835,600 ",46.70%,"$36,300,000 ",53.30%
875,War,"$67,179,155 ","$4,654,000 ",6.90%,"$62,525,155 ",93.10%
876,Doctor Sleep,"$67,128,244 ","$30,628,244 ",45.60%,"$36,500,000 ",54.40%
877,Happy Death Day 2U,"$64,503,067 ","$28,051,045 ",43.50%,"$36,452,022 ",56.50%
878,White Snake,"$61,618,539 ","$21,493 ",<0.1%,"$61,597,046 ",100%
879,Ma,"$60,582,764 ","$45,373,120 ",74.90%,"$15,209,644 ",25.10%
880,Ready or Not,"$57,437,450 ","$28,714,231 ",50%,"$28,723,219 ",50%
881,Long Shot,"$53,445,558 ","$30,316,271 ",56.70%,"$23,129,287 ",43.30%
882,Charlie's Angels,"$51,538,628 ","$16,938,628 ",32.90%,"$34,600,000 ",67.10%
883,Breakthrough,"$50,444,358 ","$40,713,082 ",80.70%,"$9,731,276 ",19.30%
884,Little,"$48,800,575 ","$40,673,960 ",83.30%,"$8,126,615 ",16.70%
885,Isn't It Romantic,"$48,791,187 ","$48,791,187 ",100%,-,-
886,Chasing the Dragon II: Wild Wild Bunch,"$45,733,356 ","$196,634 ",0.40%,"$45,536,722 ",99.60%
887,Playing with Fire,"$45,551,350 ","$39,412,076 ",86.50%,"$6,139,274 ",13.50%
888,Child's Play,"$44,902,237 ","$29,208,403 ",65%,"$15,693,834 ",35%
889,Hellboy,"$44,664,690 ","$21,903,748 ",49%,"$22,760,942 ",51%
890,Midsommar,"$41,084,036 ","$27,426,361 ",66.80%,"$13,657,675 ",33.20%
891,47 Meters Down: Uncaged,"$39,910,516 ","$22,260,900 ",55.80%,"$17,649,616 ",44.20%
892,Harriet,"$39,777,540 ","$39,577,540 ",99.50%,"$200,000 ",0.50%
893,Fighting with My Family,"$39,058,886 ","$22,958,886 ",58.80%,"$16,100,000 ",41.20%
894,Judy,"$37,181,723 ","$23,887,825 ",64.20%,"$13,293,898 ",35.80%
895,Overcomer,"$36,900,279 ","$34,712,782 ",94.10%,"$2,187,497 ",5.90%
896,The Intruder,"$36,599,361 ","$35,419,122 ",96.80%,"$1,180,239 ",3.20%
897,Pain and Glory,"$35,345,704 ","$3,490,325 ",9.90%,"$31,855,379 ",90.10%
898,Countdown,"$35,302,098 ","$25,302,098 ",71.70%,"$10,000,000 ",28.30%
899,A Beautiful Day in the Neighborhood,"$35,065,648 ","$35,065,648 ",100%,-,-
900,Bad Guys: The Movie,"$34,024,386 ","$166,972 ",0.50%,"$33,857,414 ",99.50%
901,The Art of Racing in the Rain,"$33,766,787 ","$26,395,642 ",78.20%,"$7,371,145 ",21.80%
902,Brightburn,"$32,893,421 ","$17,300,439 ",52.60%,"$15,592,982 ",47.40%
903,UglyDolls,"$32,450,241 ","$20,150,241 ",62.10%,"$12,300,000 ",37.90%
904,Stuber,"$32,390,945 ","$22,370,452 ",69.10%,"$10,020,493 ",30.90%
905,The Kid Who Would Be King,"$32,140,970 ","$16,790,790 ",52.20%,"$15,350,180 ",47.80%
906,Anna,"$30,918,726 ","$7,743,794 ",25%,"$23,174,932 ",75%
907,No Manches Frida 2,"$26,493,648 ","$9,270,920 ",35%,"$17,222,728 ",65%
908,Missing Link,"$26,249,469 ","$16,649,539 ",63.40%,"$9,599,930 ",36.60%
909,"The Gangster, the Cop, the Devil","$25,775,371 ","$216,494 ",0.80%,"$25,558,877 ",99.20%
910,Total Dhamaal,"$25,031,267 ","$2,167,632 ",8.70%,"$22,863,635 ",91.30%
911,Gully Boy,"$24,971,631 ","$5,566,534 ",22.30%,"$19,405,097 ",77.70%
912,Booksmart,"$24,843,990 ","$22,680,962 ",91.30%,"$2,163,028 ",8.70%
913,Late Night,"$22,386,466 ","$15,499,454 ",69.20%,"$6,887,012 ",30.80%
914,Black and Blue,"$22,366,810 ","$21,763,688 ",97.30%,"$603,122 ",2.70%
915,21 Bridges,"$22,328,874 ","$19,598,874 ",87.80%,"$2,730,000 ",12.20%
916,The Good Liar,"$21,932,365 ","$15,032,365 ",68.50%,"$6,900,000 ",31.50%
917,Shaft,"$21,360,215 ","$21,360,215 ",100%,-,-
918,Jojo Rabbit,"$21,027,057 ","$18,439,352 ",87.70%,"$2,587,705 ",12.30%
919,The Peanut Butter Falcon,"$20,753,681 ","$20,437,876 ",98.50%,"$315,805 ",1.50%
920,Hotel Mumbai,"$20,296,746 ","$9,651,611 ",47.60%,"$10,645,135 ",52.40%
921,The Farewell,"$19,602,064 ","$17,695,781 ",90.30%,"$1,906,283 ",9.70%
922,Unplanned,"$19,320,481 ","$19,005,109 ",98.40%,"$315,372 ",1.60%
923,Peppa Celebrates Chinese New Year,"$18,653,040 ","$131,225 ",0.70%,"$18,521,815 ",99.30%
924,Greta,"$18,640,313 ","$10,519,425 ",56.40%,"$8,120,888 ",43.60%
925,Blinded by the Light,"$18,019,198 ","$11,901,145 ",66%,"$6,118,053 ",34%
926,Always Miss You,"$17,691,872 ","$91,884 ",0.50%,"$17,599,988 ",99.50%
927,Pavarotti,"$17,373,124 ","$4,600,249 ",26.50%,"$12,772,875 ",73.50%
928,Fate/stay night [Heaven's Feel] II. lost butterfly,"$17,295,864 ","$420,595 ",2.40%,"$16,875,269 ",97.60%
929,Queen & Slim,"$17,061,060 ","$17,061,060 ",100%,-,-
930,Nothing to Lose 2,"$16,610,713 ","$1,150,551 ",6.90%,"$15,460,162 ",93.10%
931,Tazza: One-Eyed Jack,"$16,572,611 ","$97,655 ",0.60%,"$16,474,956 ",99.40%
932,Poms,"$16,418,218 ","$13,631,124 ",83%,"$2,787,094 ",17%
933,Little Q,"$16,358,581 ",-,-,"$16,358,581 ",100%
934,Kalank,"$16,130,339 ","$2,729,336 ",16.90%,"$13,401,003 ",83.10%
935,The Kitchen,"$15,880,032 ","$12,180,032 ",76.70%,"$3,700,000 ",23.30%
936,Miss Bala,"$15,383,580 ","$15,006,824 ",97.60%,"$376,756 ",2.40%
937,Serenity,"$14,387,413 ","$8,547,045 ",59.40%,"$5,840,368 ",40.60%
938,The Dead Don't Die,"$13,963,605 ","$6,563,605 ",47%,"$7,400,000 ",53%
939,Playmobil: The Movie,"$12,457,067 ",-,-,"$12,457,067 ",100%
940,Miss & Mrs. Cops,"$12,147,170 ","$104,578 ",0.90%,"$12,042,592 ",99.10%
941,Apollo 11,"$12,119,692 ","$9,039,891 ",74.60%,"$3,079,801 ",25.40%
942,The Divine Fury,"$11,799,556 ","$102,982 ",0.90%,"$11,696,574 ",99.10%
943,Motherless Brooklyn,"$11,590,698 ","$9,190,698 ",79.30%,"$2,400,000 ",20.70%
944,Bring The Soul: The Movie,"$11,393,886 ","$4,809,800 ",42.20%,"$6,584,086 ",57.80%
945,Gloria Bell,"$11,145,006 ","$5,611,123 ",50.30%,"$5,533,883 ",49.70%
946,The Lighthouse,"$10,902,916 ","$10,402,916 ",95.40%,"$500,000 ",4.60%
947,The Current War: Director's Cut,"$10,822,649 ","$5,946,532 ",54.90%,"$4,876,117 ",45.10%
948,The Best of Enemies,"$10,209,813 ","$10,205,616 ",100%,"$4,197 ",<0.1%
949,BTS World Tour: Love Yourself in Seoul,"$10,109,421 ","$3,509,917 ",34.70%,"$6,599,504 ",65.30%
950,"Where'd You Go, Bernadette","$10,093,124 ","$9,198,356 ",91.10%,"$894,768 ",8.90%
951,The Goldfinch,"$9,832,621 ","$5,332,621 ",54.20%,"$4,500,000 ",45.80%
952,Tod@s Caen,"$9,667,157 ","$2,670,925 ",27.60%,"$6,996,232 ",72.40%
953,The Aftermath,"$9,215,591 ","$1,618,497 ",17.60%,"$7,597,094 ",82.40%
954,Captive State,"$8,771,532 ","$5,958,315 ",67.90%,"$2,813,217 ",32.10%
955,Code Geass: Lelouch of the Re;Surrection 2019 Re-release,"$8,715,612 ","$522,805 ",6%,"$8,192,807 ",94%
956,Promare,"$8,554,650 ","$1,418,602 ",16.60%,"$7,136,048 ",83.40%
957,The Traitor,"$7,829,089 ",-,-,"$7,829,089 ",100%
958,Tolkien,"$7,776,413 ","$4,535,154 ",58.30%,"$3,241,259 ",41.70%
959,Bharat,"$7,762,483 ","$2,971,549 ",38.30%,"$4,790,934 ",61.70%
960,Love Live! Sunshine!! The School Idol Movie: Over The Rainbow,"$7,733,048 ","$34,135 ",0.40%,"$7,698,913 ",99.60%
961,Penguins,"$7,699,452 ","$7,699,452 ",100%,-,-
962,The Battle of Jangsari,"$7,693,800 ","$70,853 ",0.90%,"$7,622,947 ",99.10%
963,By the Grace of God,"$7,689,745 ","$56,235 ",0.70%,"$7,633,510 ",99.30%
964,The White Crow,"$7,622,595 ","$1,828,784 ",24%,"$5,793,811 ",76%
965,Brittany Runs a Marathon,"$7,440,228 ","$7,189,808 ",96.60%,"$250,420 ",3.40%
966,Mayday Life,"$7,435,496 ","$85,912 ",1.20%,"$7,349,584 ",98.80%
967,Jexi,"$7,430,723 ","$6,546,159 ",88.10%,"$884,564 ",11.90%
968,Wild Rose,"$7,123,449 ","$1,635,117 ",23%,"$5,488,332 ",77%
969,The Sun Is Also a Star,"$6,650,029 ","$4,950,029 ",74.40%,"$1,700,000 ",25.60%
970,Arctic Dogs,"$6,616,905 ","$5,660,735 ",85.50%,"$956,170 ",14.50%
971,Official Secrets,"$6,549,612 ","$1,988,546 ",30.40%,"$4,561,066 ",69.60%
972,Run the Race,"$6,424,420 ","$6,424,420 ",100%,-,-
973,The Mustang,"$6,405,816 ","$5,043,620 ",78.70%,"$1,362,196 ",21.30%
974,Immortal Hero,"$6,179,954 ","$43,007 ",0.70%,"$6,136,947 ",99.30%
975,National Theatre Live: Fleabag,"$6,020,353 ","$326,283 ",5.40%,"$5,694,070 ",94.60%
976,"Cyrano, My Love","$5,982,358 ","$351,019 ",5.90%,"$5,631,339 ",94.10%
977,The Professor and the Madman,"$5,737,400 ",-,-,"$5,737,400 ",100%
978,Furie,"$5,717,640 ","$594,788 ",10.40%,"$5,122,852 ",89.60%
979,Saaho,"$5,708,522 ","$2,872,057 ",50.30%,"$2,836,465 ",49.70%
980,Mission Mangal,"$5,667,057 ","$3,659,413 ",64.60%,"$2,007,644 ",35.40%
981,Don't Let Go,"$5,288,011 ","$5,215,062 ",98.60%,"$72,949 ",1.40%
982,The Biggest Little Farm,"$5,047,078 ","$4,366,949 ",86.50%,"$680,129 ",13.50%
983,KonoSuba - God's Blessing on This Wonderful World!: Legend of Crimson,"$4,853,893 ","$1,134,786 ",23.40%,"$3,719,107 ",76.60%
984,Menteur,"$4,697,364 ","$4,697,364 ",100%,-,-
985,The Last Black Man in San Francisco,"$4,607,017 ","$4,515,719 ",98%,"$91,298 ",2%
986,Housefull 4,"$4,579,675 ","$2,109,160 ",46.10%,"$2,470,515 ",53.90%
987,The Beach Bum,"$4,553,909 ","$3,502,600 ",76.90%,"$1,051,309 ",23.10%
988,Brian Banks,"$4,376,819 ","$4,376,819 ",100%,-,-
989,Uri: The Surgical Strike 2019 Re-release,"$4,302,454 ","$4,186,168 ",97.30%,"$116,286 ",2.70%
990,Linda Ronstadt: The Sound of My Voice,"$4,207,563 ","$4,207,563 ",100%,-,-
991,Savage,"$4,140,502 ","$74,491 ",1.80%,"$4,066,011 ",98.20%
992,Arctic 2019 Re-release,"$4,124,015 ","$2,410,795 ",58.50%,"$1,713,220 ",41.50%
993,Lucifer,"$3,956,978 ",-,-,"$3,956,978 ",100%
994,Super 30,"$3,953,337 ","$2,269,878 ",57.40%,"$1,683,459 ",42.60%
995,Badla,"$3,590,894 ","$1,861,000 ",51.80%,"$1,729,894 ",48.20%
996,The Oscar Nominated Short Films 2019: Documentary,"$3,538,550 ","$3,531,094 ",99.80%,"$7,456 ",0.20%
997,Maiden,"$3,482,861 ","$3,160,007 ",90.70%,"$322,854 ",9.30%
998,Midnight Diner,"$3,412,771 ","$18,555 ",0.50%,"$3,394,216 ",99.50%
999,The Hole in the Ground,"$3,373,474 ","$21,072 ",0.60%,"$3,352,402 ",99.40%
1000,Echo in the Canyon,"$3,355,324 ","$3,355,324 ",100%,-,-
1001,The Death and Life of John F. Donovan,"$3,326,364 ","$152,713 ",4.60%,"$3,173,651 ",95.40%
1002,Ek Ladki Ko Dekha Toh Aisa Laga,"$3,307,565 ","$1,182,636 ",35.80%,"$2,124,929 ",64.20%
1003,Chhichhore,"$3,307,350 ","$2,004,400 ",60.60%,"$1,302,950 ",39.40%
1004,Pilgrim's Progress,"$3,173,282 ","$1,294,596 ",40.80%,"$1,878,686 ",59.20%
1005,Western Stars,"$3,079,996 ","$1,579,996 ",51.30%,"$1,500,000 ",48.70%
1006,All Is True,"$3,019,143 ","$1,200,481 ",39.80%,"$1,818,662 ",60.20%
1007,Friends 25th: The One With The Anniversary,"$3,000,137 ","$2,884,827 ",96.20%,"$115,310 ",3.80%
1008,Portrait of a Lady on Fire,"$2,936,245 ",-,-,"$2,936,245 ",100%
1009,Jay and Silent Bob Reboot,"$2,801,841 ","$2,801,841 ",100%,-,-
1010,Metallica & San Francisco Symphony - S&M2,"$2,705,442 ","$1,252,385 ",46.30%,"$1,453,057 ",53.70%
1011,Faustina: Love and Mercy,"$2,672,316 ","$1,416,609 ",53%,"$1,255,707 ",47%
1012,After the Wedding,"$2,623,072 ","$1,574,258 ",60%,"$1,048,814 ",40%
1013,Marianne & Leonard: Words of Love,"$2,622,548 ","$1,012,034 ",38.60%,"$1,610,514 ",61.40%
1014,Diego Maradona,"$2,617,806 ",-,-,"$2,617,806 ",100%
1015,Spirits in the Forest,"$2,530,728 ","$704,744 ",27.80%,"$1,825,984 ",72.20%
1016,Polaroid,"$2,493,569 ",-,-,"$2,493,569 ",100%
1017,The Art of Self-Defense,"$2,414,269 ","$2,410,914 ",99.90%,"$3,355 ",0.10%
1018,Sound! Euphonium the Movie - Our Promise: A Brand New Day,"$2,403,030 ","$90,341 ",3.80%,"$2,312,689 ",96.20%
1019,3 from Hell,"$2,289,265 ","$2,172,949 ",94.90%,"$116,316 ",5.10%
1020,Piranhas,"$2,285,086 ","$23,494 ",1%,"$2,261,592 ",99%
1021,Luce,"$2,260,316 ","$2,010,613 ",89%,"$249,703 ",11%
1022,Gone with the Wind 2019 Re-release,"$2,176,120 ","$2,176,120 ",100%,-,-
1023,The Aeronauts,"$2,156,698 ",-,-,"$2,156,698 ",100%
1024,The Wizard of Oz 2019 Re-release,"$2,076,020 ","$2,076,020 ",100%,-,-
1025,Luka Chuppi,"$1,923,586 ","$1,042,905 ",54.20%,"$880,681 ",45.80%
1026,The Other Side of Heaven 2: Fire of Faith,"$1,807,216 ","$1,807,216 ",100%,-,-
1027,42nd Street: The Musical,"$1,724,565 ","$187,440 ",10.90%,"$1,537,125 ",89.10%
1028,The Souvenir,"$1,719,157 ","$1,036,737 ",60.30%,"$682,420 ",39.70%
1029,A Brother's Love,"$1,671,969 ","$539,524 ",32.30%,"$1,132,445 ",67.70%
1030,Student of the Year 2,"$1,635,907 ","$778,566 ",47.60%,"$857,341 ",52.40%
1031,The Informer,"$1,623,364 ",-,-,"$1,623,364 ",100%
1032,Matthias & Maxime,"$1,604,378 ","$365,918 ",22.80%,"$1,238,460 ",77.20%
1033,The Crossing,"$1,589,212 ","$90,896 ",5.70%,"$1,498,316 ",94.30%
1034,The Kid,"$1,551,521 ","$1,508,593 ",97.20%,"$42,928 ",2.80%
1035,Tel Aviv on Fire,"$1,548,893 ","$506,145 ",32.70%,"$1,042,748 ",67.30%
1036,The Chaperone,"$1,541,223 ","$600,654 ",39%,"$940,569 ",61%
1037,Honey Boy,"$1,536,804 ","$1,536,804 ",100%,-,-
1038,De De Pyaar De,"$1,473,116 ","$425,934 ",28.90%,"$1,047,182 ",71.10%
1039,Teen Spirit,"$1,457,366 ","$441,366 ",30.30%,"$1,016,000 ",69.70%
1040,El Chicano,"$1,404,646 ","$1,400,603 ",99.70%,"$4,043 ",0.30%
1041,Alien 2019 Re-release,"$1,356,259 ","$833,658 ",61.50%,"$522,601 ",38.50%
1042,Monos,"$1,328,447 ","$406,473 ",30.60%,"$921,974 ",69.40%
1043,Roger Waters - Us + Them,"$1,294,480 ","$611,644 ",47.30%,"$682,836 ",52.70%
1044,Fagara,"$1,265,949 ","$43,417 ",3.40%,"$1,222,532 ",96.60%
1045,Batla House,"$1,264,337 ","$493,180 ",39%,"$771,157 ",61%
1046,BTS World Tour 'Love Yourself: Speak Yourself' (The Final) Seoul Live Viewing,"$1,226,552 ","$1,226,552 ",100%,-,-
1047,Kingdom Men Rising,"$1,188,936 ","$1,188,936 ",100%,-,-
1048,Los Domirriqueños 2,"$1,187,280 ","$1,187,280 ",100%,-,-
1049,My Neighbor Totoro 2019 Re-release,"$1,105,564 ","$1,105,564 ",100%,-,-
1050,El Coyote,"$1,101,470 ","$1,101,470 ",100%,-,-
1051,The Sky Is Pink,"$1,088,641 ","$652,592 ",59.90%,"$436,049 ",40.10%
1052,Jesus Is King,"$1,082,075 ","$973,000 ",89.90%,"$109,075 ",10.10%
1053,Bennett's War,"$1,056,416 ","$1,056,416 ",100%,-,-
1054,Noah: The Musical,"$1,035,603 ","$1,035,603 ",100%,-,-
1055,Dark Waters,"$1,012,524 ","$1,012,524 ",100%,-,-
1056,Cold Blood,"$1,009,888 ","$5,083 ",0.50%,"$1,004,805 ",99.50%
1057,Kiki's Delivery Service 2019 Re-release,"$1,004,057 ","$1,004,057 ",100%,-,-
1058,Rush: Cinema Strangiato 2019,"$960,073 ","$960,073 ",100%,-,-
1059,The Fighting Preacher,"$922,656 ","$922,656 ",100%,-,-
1060,Toni Morrison: The Pieces I Am,"$903,018 ","$903,018 ",100%,-,-
1061,Kinky Boots: The Musical,"$900,451 ","$900,451 ",100%,-,-
1062,The Hummingbird Project,"$899,037 ","$371,784 ",41.40%,"$527,253 ",58.60%
1063,The Game Changers,"$897,992 ","$739,711 ",82.40%,"$158,281 ",17.60%
1064,Miles Davis: Birth of the Cool,"$896,528 ","$614,201 ",68.50%,"$282,327 ",31.50%
1065,Between Me and My Mind,"$875,191 ","$875,191 ",100%,-,-
1066,Howl's Moving Castle 2019 Re-release,"$865,647 ","$865,647 ",100%,-,-
1067,Steel Magnolias 2019 Re-release,"$855,421 ","$855,421 ",100%,-,-
1068,Joni 75: A Birthday Celebration,"$808,831 ","$752,205 ",93%,"$56,626 ",7%
1069,Vita & Virginia,"$793,068 ","$42,741 ",5.40%,"$750,327 ",94.60%
1070,Chonda Pierce: Unashamed,"$787,979 ","$787,979 ",100%,-,-
1071,Mystify: Michael Hutchence,"$779,773 ",-,-,"$779,773 ",100%
1072,Fantastic Fungi,"$777,518 ","$777,518 ",100%,-,-
1073,The Church,"$772,000 ","$772,000 ",100%,-,-
1074,The Nightingale,"$767,064 ","$400,209 ",52.20%,"$366,855 ",47.80%
1075,DanTDM Presents The Contest,"$765,363 ","$307,484 ",40.20%,"$457,879 ",59.80%
1076,Patterns of Evidence: Moses Controversy,"$765,361 ","$765,361 ",100%,-,-
1077,I Love Lucy: A Colorized Celebration,"$754,323 ","$754,323 ",100%,-,-
1078,David Crosby: Remember My Name,"$731,557 ","$731,557 ",100%,-,-
1079,Honeyland,"$725,974 ","$711,628 ",98%,"$14,346 ",2%
1080,Where's My Roy Cohn?,"$697,730 ","$697,730 ",100%,-,-
1081,The Least of These: The Graham Staines Story,"$695,164 ","$607,015 ",87.30%,"$88,149 ",12.70%
1082,Raise Hell: The Life & Times of Molly Ivins,"$693,723 ","$693,723 ",100%,-,-
1083,Stockholm,"$692,514 ","$292,590 ",42.30%,"$399,924 ",57.70%
1084,Romeo Akbar Walter,"$688,719 ","$236,299 ",34.30%,"$452,420 ",65.70%
1085,For Sama,"$660,381 ","$43,796 ",6.60%,"$616,585 ",93.40%
1086,The Public,"$641,835 ","$573,503 ",89.40%,"$68,332 ",10.60%
1087,Frankie,"$629,307 ","$142,718 ",22.70%,"$486,589 ",77.30%
1088,Asako I & II,"$626,871 ","$25,328 ",4%,"$601,543 ",96%
1089,Dirty Dancing 2019 Re-release,"$622,968 ","$622,968 ",100%,-,-
1090,Give Me Liberty,"$614,049 ","$232,631 ",37.90%,"$381,418 ",62.10%
1091,The Muppet Movie 2019 Re-release,"$610,475 ","$610,475 ",100%,-,-
1092,The Golden Glove,"$604,147 ","$6,160 ",1%,"$597,987 ",99%
1093,To Kill a Mockingbird 2019 Re-release,"$592,237 ","$592,237 ",100%,-,-
1094,The Cure: Anniversary 1978-2018 Live in Hyde Park,"$591,904 ","$378,405 ",63.90%,"$213,499 ",36.10%
1095,Bethany Hamilton: Unstoppable,"$590,671 ","$590,671 ",100%,-,-
1096,Waves,"$576,174 ","$576,174 ",100%,-,-
1097,My Fair Lady 2019 Re-release,"$560,711 ","$560,711 ",100%,-,-
1098,Synonyms,"$553,324 ","$151,074 ",27.30%,"$402,250 ",72.70%
1099,Photograph,"$550,508 ","$344,534 ",62.60%,"$205,974 ",37.40%
1100,Fiddler: A Miracle of Miracles,"$549,386 ","$549,386 ",100%,-,-
1101,"DCI 2019: Big, Loud & Live 16","$546,060 ","$546,060 ",100%,-,-
1102,Junglee,"$545,887 ","$295,784 ",54.20%,"$250,103 ",45.80%
1103,Grateful Dead Meet-Up 2019,"$537,153 ","$537,153 ",100%,-,-
1104,CatVideoFest,"$536,566 ","$470,923 ",87.80%,"$65,643 ",12.20%
1105,Margaret Atwood: Live in Cinemas,"$529,285 ","$93,690 ",17.70%,"$435,595 ",82.30%
1106,The Audience 2019 Re-release,"$523,432 ","$106,529 ",20.40%,"$416,903 ",79.60%
1107,The Spy Behind Home Plate,"$519,525 ","$519,525 ",100%,-,-
1108,Wild Nights with Emily,"$519,487 ","$519,487 ",100%,-,-
1109,The Day Shall Come,"$514,073 ","$26,972 ",5.20%,"$487,101 ",94.80%
1110,Bolshoi Ballet: Carmen Suite/Petrushka,"$510,628 ","$207,523 ",40.60%,"$303,105 ",59.40%
1111,Saving Private Ryan 2019 Re-release,"$508,694 ","$508,694 ",100%,-,-
1112,Whisper of the Heart 2019 Re-release,"$498,156 ","$498,156 ",100%,-,-
1113,Nausicaä of the Valley of the Wind 2019 Re-release,"$495,770 ","$495,770 ",100%,-,-
1114,The Russian Five,"$485,049 ","$485,049 ",100%,-,-
1115,Lawrence of Arabia 2019 Re-release,"$482,281 ","$482,281 ",100%,-,-
1116,Liam Gallagher: As It Was,"$477,009 ",-,-,"$477,009 ",100%
1117,Monty Python's Life of Brian 2019 Re-release,"$470,071 ","$161,507 ",34.40%,"$308,564 ",65.60%
1118,Hail Satan?,"$467,232 ","$424,284 ",90.80%,"$42,948 ",9.20%
1119,Light of My Life,"$463,859 ","$20,056 ",4.30%,"$443,803 ",95.70%
1120,Christmas Jars,"$459,462 ","$459,462 ",100%,-,-
1121,Cruel Intentions 2019 Re-release,"$445,218 ","$445,218 ",100%,-,-
1122,What We Left Behind: Star Trek DS9,"$434,437 ","$382,457 ",88%,"$51,980 ",12%
1123,Ben-Hur 2019 Re-release,"$422,622 ","$422,622 ",100%,-,-
1124,The Cold Blue,"$420,177 ","$420,177 ",100%,-,-
1125,The Reliant,"$408,747 ","$408,747 ",100%,-,-
1126,Aquarela,"$405,050 ","$300,509 ",74.20%,"$104,541 ",25.80%
1127,"Hello, Dolly!","$400,881 ","$400,881 ",100%,-,-
1128,The Wedding Guest,"$386,166 ","$386,166 ",100%,-,-
1129,The Secret World of Arrietty 2019 Re-release,"$384,289 ","$384,289 ",100%,-,-
1130,The Metropolitan Opera HD Live: Puccini: Turandot,"$375,295 ",-,-,"$375,295 ",100%
1131,Ghostbusters 2019 Re-release,"$369,612 ","$369,612 ",100%,-,-
1132,Lords of Chaos,"$365,353 ","$253,184 ",69.30%,"$112,169 ",30.70%
1133,K-12,"$359,377 ","$303,230 ",84.40%,"$56,147 ",15.60%
1134,The Shawshank Redemption 2019 Re-release,"$358,507 ","$358,507 ",100%,-,-
1135,Killerman,"$358,352 ","$291,477 ",81.30%,"$66,875 ",18.70%
1136,The Tomorrow Man,"$354,103 ","$354,103 ",100%,-,-
1137,Star Trek: The Motion Picture 2019 Re-release,"$346,243 ","$346,243 ",100%,-,-
1138,Triple Threat,"$345,900 ","$76,289 ",22.10%,"$269,611 ",77.90%
1139,Is It Wrong to Try to Pick Up Girls in a Dungeon - Arrow of the Orion,"$338,632 ","$271,489 ",80.20%,"$67,143 ",19.80%
1140,Diane,"$336,166 ","$336,166 ",100%,-,-
1141,A Silent Voice: The Movie 2019 Re-release,"$333,984 ","$333,984 ",100%,-,-
1142,Freaks,"$333,212 ","$276,591 ",83%,"$56,621 ",17%
1143,The Big Fight Live: IBF Welterweight Title: Errol Spence Jr. vs. Mikey Garcia,"$328,979 ","$328,979 ",100%,-,-
1144,Sword of Trust,"$322,421 ","$322,421 ",100%,-,-
1145,Woodstock,"$320,610 ","$126,562 ",39.50%,"$194,048 ",60.50%
1146,Lucy in the Sky,"$319,976 ","$319,976 ",100%,-,-
1147,You Are Here: A Come From Away Story,"$318,885 ","$318,885 ",100%,-,-
1148,Josh Groban Bridges from Madison Square Garden,"$315,173 ","$315,173 ",100%,-,-
1149,Ask Dr. Ruth,"$314,938 ","$297,195 ",94.40%,"$17,743 ",5.60%
1150,Bolshoi Ballet: The Sleeping Beauty,"$311,368 ","$311,368 ",100%,-,-
1151,Anthropocene: The Human Epoch,"$303,904 ","$104,649 ",34.40%,"$199,255 ",65.60%
